"municipio_id_sus","uf_sigla","municipio_nome","isf_nota","periodo_data_inicio"
"355040",SP,SÃO PEDRO,4.1,2022-12-01
"351570",SP,FERRAZ DE VASCONCELOS,4.11,2022-12-01
"431514",RS,PRESIDENTE LUCENA,4.12,2022-12-01
"110001",RO,ALTA FLORESTA D'OESTE,4.12,2022-12-01
"412420",PR,SANTO ANTÔNIO DO CAIUÁ,4.12,2022-12-01
"330390",RJ,PETRÓPOLIS,4.12,2022-12-01
"260760",PE,ILHA DE ITAMARACÁ,4.13,2022-12-01
"510637",MT,PEDRA PRETA,4.14,2022-12-01
"311000",MG,CAETÉ,4.14,2022-12-01
"353820",SP,PINHALZINHO,4.14,2022-12-01
"432147",RS,TIRADENTES DO SUL,4.14,2022-12-01
"314070",MG,MATEUS LEME,4.14,2022-12-01
"430543",RS,CHUÍ,4.15,2022-12-01
"350310",SP,ARANDU,4.15,2022-12-01
"430440",RS,CANELA,4.15,2022-12-01
"310510",MG,BAMBUÍ,4.16,2022-12-01
"150250",PA,CHAVES,4.17,2022-12-01
"421825",SC,TIMBÓ GRANDE,4.17,2022-12-01
"312980",MG,IBIRITÉ,4.17,2022-12-01
"431400",RS,PARAÍ,4.18,2022-12-01
"150210",PA,CAMETÁ,4.18,2022-12-01
"430080",RS,ANTÔNIO PRADO,4.18,2022-12-01
"510285",MT,CASTANHEIRA,4.18,2022-12-01
"420315",SC,CALMON,4.18,2022-12-01
"330555",RJ,SEROPÉDICA,4.18,2022-12-01
"260480",PE,CORTÊS,4.19,2022-12-01
"354760",SP,SANTA ROSA DE VITERBO,4.19,2022-12-01
"150810",PA,TUCURUÍ,4.19,2022-12-01
"316350",MG,SÃO JOSÉ DO JACURI,4.2,2022-12-01
"317115",MG,VERMELHO NOVO,4.2,2022-12-01
"160050",AP,OIAPOQUE,4.21,2022-12-01
"430880",RS,GENERAL CÂMARA,4.21,2022-12-01
"315420",MG,RESENDE COSTA,4.21,2022-12-01
"351230",SP,CONCHAS,4.21,2022-12-01
"313440",MG,ITURAMA,4.21,2022-12-01
"210470",MA,GRAÇA ARANHA,4.21,2022-12-01
"315415",MG,REDUTO,4.21,2022-12-01
"330140",RJ,CONCEIÇÃO DE MACABU,4.22,2022-12-01
"420930",SC,LAGES,4.22,2022-12-01
"320035",ES,ALTO RIO NOVO,4.22,2022-12-01
"130390",AM,SÃO PAULO DE OLIVENÇA,4.23,2022-12-01
"353360",SP,NUPORANGA,4.23,2022-12-01
"280580",SE,RIACHÃO DO DANTAS,4.24,2022-12-01
"431337",RS,NOVA SANTA RITA,4.24,2022-12-01
"432090",RS,TAPEJARA,4.24,2022-12-01
"311830",MG,CONSELHEIRO LAFAIETE,4.25,2022-12-01
"150275",PA,CONCÓRDIA DO PARÁ,4.26,2022-12-01
"130220",AM,JURUÁ,4.26,2022-12-01
"160060",AP,SANTANA,4.26,2022-12-01
"410060",PR,ALTO PARANÁ,4.26,2022-12-01
"330245",RJ,MACUCO,4.26,2022-12-01
"351630",SP,FRANCISCO MORATO,4.27,2022-12-01
"292310",BA,OLINDINA,4.27,2022-12-01
"315110",MG,PIRAPETINGA,4.27,2022-12-01
"150013",PA,ABEL FIGUEIREDO,4.27,2022-12-01
"410310",PR,BOCAIÚVA DO SUL,4.27,2022-12-01
"311050",MG,CAMANDUCAIA,4.28,2022-12-01
"355170",SP,SERTÃOZINHO,4.28,2022-12-01
"311060",MG,CAMBUÍ,4.28,2022-12-01
"431725",RS,SANTA TEREZA,4.28,2022-12-01
"210975",MA,SANTA FILOMENA DO MARANHÃO,4.29,2022-12-01
"330450",RJ,RIO DAS FLORES,4.29,2022-12-01
"220850",PI,PORTO,4.29,2022-12-01
"520870",GO,GOIÂNIA,4.29,2022-12-01
"311205",MG,CANTAGALO,4.29,2022-12-01
"355030",SP,SÃO PAULO,4.3,2022-12-01
"430087",RS,ARARICÁ,4.3,2022-12-01
"251370",PB,SANTA RITA,4.31,2022-12-01
"220465",PI,ILHA GRANDE,4.31,2022-12-01
"310780",MG,BOM JESUS DO GALHO,4.32,2022-12-01
"210230",MA,BURITI BRAVO,4.33,2022-12-01
"430340",RS,CAIÇARA,4.33,2022-12-01
"351492",SP,ELISIÁRIO,4.33,2022-12-01
"314160",MG,MERCÊS,4.33,2022-12-01
"314350",MG,MORADA NOVA DE MINAS,4.33,2022-12-01
"431555",RS,RIO DOS ÍNDIOS,4.33,2022-12-01
"412220",PR,RIO BRANCO DO SUL,4.34,2022-12-01
"330580",RJ,TERESÓPOLIS,4.34,2022-12-01
"314370",MG,MORRO DO PILAR,4.34,2022-12-01
"353850",SP,PIQUETE,4.34,2022-12-01
"351580",SP,FLORA RICA,4.35,2022-12-01
"330030",RJ,BARRA DO PIRAÍ,4.35,2022-12-01
"241025",RN,PORTO DO MANGUE,4.35,2022-12-01
"314640",MG,PAINEIRAS,4.35,2022-12-01
"352520",SP,JARINU,4.36,2022-12-01
"352400",SP,ITUPEVA,4.36,2022-12-01
"316245",MG,SÃO JOÃO DAS MISSÕES,4.37,2022-12-01
"313720",MG,LAGOA DA PRATA,4.37,2022-12-01
"240250",RN,CARNAUBAIS,4.37,2022-12-01
"110009",RO,ESPIGÃO D'OESTE,4.37,2022-12-01
"521150",GO,ITUMBIARA,4.38,2022-12-01
"431850",RS,SÃO JOSÉ DO NORTE,4.38,2022-12-01
"330022",RJ,AREAL,4.39,2022-12-01
"290810",BA,COCOS,4.39,2022-12-01
"353650",SP,PAULÍNIA,4.39,2022-12-01
"150345",PA,IPIXUNA DO PARÁ,4.4,2022-12-01
"240260",RN,CEARÁ-MIRIM,4.4,2022-12-01
"312500",MG,EWBANK DA CÂMARA,4.4,2022-12-01
"311270",MG,CAPITÃO ENÉAS,4.4,2022-12-01
"171240",TO,LIZARDA,4.41,2022-12-01
"312245",MG,DIVISÓPOLIS,4.41,2022-12-01
"210910",MA,PRESIDENTE DUTRA,4.41,2022-12-01
"130423",AM,TONANTINS,4.41,2022-12-01
"354090",SP,PRADÓPOLIS,4.41,2022-12-01
"411125",PR,ITAPERUÇU,4.42,2022-12-01
"150700",PA,SANTO ANTÔNIO DO TAUÁ,4.42,2022-12-01
"412545",PR,SÃO JOSÉ DAS PALMEIRAS,4.42,2022-12-01
"431090",RS,JACUTINGA,4.42,2022-12-01
"220672",PI,NAZÁRIA,4.42,2022-12-01
"314950",MG,PEQUERI,4.43,2022-12-01
"312385",MG,ENTRE FOLHAS,4.43,2022-12-01
"172110",TO,TOCANTÍNIA,4.43,2022-12-01
"311750",MG,CONCEIÇÃO DO MATO DENTRO,4.43,2022-12-01
"431640",RS,ROSÁRIO DO SUL,4.43,2022-12-01
"315740",MG,SANTA CRUZ DO ESCALVADO,4.43,2022-12-01
"410950",PR,GUARAQUEÇABA,4.43,2022-12-01
"292230",BA,MURITIBA,4.43,2022-12-01
"290270",BA,BARRA,4.44,2022-12-01
"150611",PA,QUATIPURU,4.44,2022-12-01
"317110",MG,VERÍSSIMO,4.44,2022-12-01
"240330",RN,ENCANTO,4.45,2022-12-01
"150010",PA,ABAETETUBA,4.45,2022-12-01
"314015",MG,MÁRIO CAMPOS,4.45,2022-12-01
"150277",PA,CURIONÓPOLIS,4.45,2022-12-01
"520660",GO,CUMARI,4.46,2022-12-01
"411745",PR,OURO VERDE DO OESTE,4.46,2022-12-01
"410850",PR,GENERAL CARNEIRO,4.46,2022-12-01
"354990",SP,SÃO JOSÉ DOS CAMPOS,4.46,2022-12-01
"412670",PR,TAMBOARA,4.46,2022-12-01
"291840",BA,JUAZEIRO,4.46,2022-12-01
"290490",BA,CACHOEIRA,4.47,2022-12-01
"352580",SP,JÚLIO MESQUITA,4.47,2022-12-01
"522145",GO,TROMBAS,4.47,2022-12-01
"211105",MA,SÃO JOÃO DO PARAÍSO,4.48,2022-12-01
"292740",BA,SALVADOR,4.48,2022-12-01
"430710",RS,HERVAL,4.48,2022-12-01
"352090",SP,IPAUSSU,4.49,2022-12-01
"313460",MG,JABOTICATUBAS,4.49,2022-12-01
"210405",MA,ESTREITO,4.5,2022-12-01
"330615",RJ,VARRE-SAI,4.5,2022-12-01
"354750",SP,SANTA RITA DO PASSA QUATRO,4.5,2022-12-01
"353980",SP,POÁ,4.5,2022-12-01
"170100",TO,ANANÁS,4.51,2022-12-01
"420230",SC,BIGUAÇU,4.51,2022-12-01
"313690",MG,JURUAIA,4.52,2022-12-01
"310150",MG,ALÉM PARAÍBA,4.52,2022-12-01
"314990",MG,PERDÕES,4.52,2022-12-01
"352290",SP,ITAPUÍ,4.52,2022-12-01
"313190",MG,ITABIRITO,4.52,2022-12-01
"411680",PR,NOVA CANTU,4.53,2022-12-01
"354515",SP,SALTINHO,4.53,2022-12-01
"412270",PR,SABÁUDIA,4.54,2022-12-01
"260960",PE,OLINDA,4.54,2022-12-01
